id,y
0,0
1,0
2,0
3,2
4,0
5,2
6,0
7,0
8,0
9,2
10,1
11,0
12,2
13,0
14,2
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,2
23,0
24,1
25,3
26,1
27,2
28,0
29,2
30,0
31,0
32,0
33,2
34,0
35,0
36,0
37,2
38,0
39,0
40,2
41,0
42,0
43,0
44,0
45,1
46,0
47,1
48,0
49,0
50,2
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,2
59,0
60,0
61,2
62,2
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,2
71,0
72,3
73,0
74,2
75,2
76,2
77,0
78,2
79,0
80,2
81,0
82,2
83,1
84,2
85,0
86,2
87,2
88,0
89,0
90,2
91,0
92,2
93,2
94,2
95,0
96,0
97,0
98,2
99,0
100,0
101,0
102,2
103,0
104,0
105,2
106,0
107,0
108,2
109,0
110,0
111,0
112,0
113,3
114,2
115,0
116,0
117,0
118,2
119,2
120,1
121,0
122,0
123,0
124,2
125,0
126,0
127,2
128,2
129,2
130,1
131,0
132,2
133,0
134,0
135,2
136,0
137,0
138,0
139,0
140,0
141,0
142,3
143,0
144,0
145,0
146,0
147,2
148,1
149,2
150,0
151,0
152,2
153,1
154,2
155,0
156,0
157,2
158,2
159,1
160,2
161,0
162,0
163,0
164,0
165,0
166,0
167,3
168,2
169,2
170,0
171,0
172,0
173,2
174,2
175,2
176,1
177,0
178,1
179,2
180,0
181,0
182,0
183,2
184,3
185,3
186,3
187,2
188,0
189,1
190,0
191,0
192,2
193,0
194,2
195,1
196,0
197,0
198,2
199,2
200,2
201,2
202,2
203,0
204,0
205,2
206,0
207,2
208,0
209,2
210,2
211,0
212,1
213,2
214,0
215,0
216,2
217,0
218,2
219,3
220,0
221,0
222,1
223,0
224,0
225,0
226,2
227,1
228,1
229,2
230,2
231,0
232,0
233,0
234,0
235,0
236,1
237,2
238,2
239,2
240,0
241,1
242,2
243,0
244,0
245,0
246,0
247,1
248,3
249,2
250,2
251,0
252,0
253,3
254,2
255,2
256,0
257,2
258,0
259,0
260,1
261,2
262,0
263,2
264,0
265,2
266,2
267,3
268,2
269,0
270,0
271,0
272,0
273,0
274,2
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,2
286,2
287,0
288,2
289,2
290,0
291,0
292,0
293,2
294,2
295,2
296,0
297,0
298,3
299,2
300,1
301,0
302,2
303,0
304,0
305,0
306,1
307,1
308,0
309,1
310,0
311,2
312,0
313,2
314,3
315,2
316,0
317,2
318,0
319,1
320,2
321,0
322,0
323,0
324,0
325,0
326,2
327,0
328,1
329,0
330,0
331,2
332,2
333,2
334,2
335,2
336,2
337,2
338,0
339,3
340,0
341,0
342,0
343,0
344,2
345,0
346,2
347,0
348,0
349,0
350,0
351,2
352,2
353,0
354,0
355,0
356,0
357,0
358,0
359,2
360,0
361,0
362,2
363,0
364,2
365,2
366,0
367,0
368,0
369,1
370,0
371,2
372,1
373,0
374,0
375,0
376,2
377,0
378,0
379,0
380,0
381,0
382,2
383,3
384,1
385,2
386,0
387,2
388,1
389,2
390,0
391,2
392,0
393,0
394,0
395,0
396,2
397,2
398,2
399,2
400,0
401,2
402,1
403,0
404,3
405,1
406,0
407,0
408,0
409,2
410,1
411,3
412,0
413,1
414,2
415,3
416,0
417,1
418,1
419,0
420,2
421,0
422,0
423,0
424,1
425,2
426,2
427,2
428,0
429,0
430,1
431,0
432,1
433,0
434,0
435,2
436,0
437,0
438,0
439,3
440,0
441,0
442,2
443,0
444,0
445,2
446,0
447,0
448,2
449,0
450,1
451,0
452,0
453,2
454,0
455,0
456,0
457,2
458,0
459,0
460,2
461,2
462,2
463,0
464,1
465,0
466,0
467,2
468,1
469,2
470,0
471,0
472,0
473,0
474,0
475,0
476,3
477,1
478,1
479,0
480,1
481,0
482,0
483,2
484,2
485,2
486,0
487,0
488,1
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,3
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,2
507,2
508,0
509,2
510,0
511,2
512,0
513,2
514,2
515,2
516,2
517,2
518,2
519,0
520,0
521,0
522,2
523,2
524,3
525,1
526,0
527,0
528,0
529,2
530,0
531,0
532,0
